PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Sex_Encoded,Embarked_Q,Embarked_S,Embarked_nan,Age_Scaled,Fare_Scaled,FamilySize,IsAlone
1,0,1,female,27.0,0,0,11.092128879607143,0,True,False,False,0.041672887399076354,-0.974099674784325,1,1
2,1,2,female,38.0,0,0,30.84006885032849,0,False,True,False,0.7770767826768925,-0.136319844702757,1,1
3,1,3,male,4.0,0,1,7.423259165487615,1,False,True,False,-1.4959898027272664,-1.1297465447993038,2,0
4,0,3,male,14.0,1,0,19.022875728295634,1,False,True,False,-0.827440807020161,-0.6376483914016018,2,0
5,0,3,female,35.0,0,1,20.943036878875585,0,False,False,False,0.5765120839647608,-0.5561881335292796,2,0
6,0,1,male,54.0,0,0,22.384011055660025,1,False,True,False,1.8467551758082614,-0.49505673943104755,1,1
7,0,2,male,26.0,0,0,42.919295060934324,1,False,True,False,-0.02518201217163421,0.3761251038458956,1,1
8,1,2,female,4.0,0,0,22.008060281342196,0,False,True,False,-1.4959898027272664,-0.5110059460973629,1,1
9,1,2,female,22.0,0,0,25.113937566917855,0,False,True,False,-0.29260161045447647,-0.3792432737162634,1,1
10,1,3,male,27.0,1,0,15.386319461959337,1,False,True,False,0.041672887399076354,-0.7919244067941074,2,0
11,0,1,female,54.0,1,0,21.26631201652029,0,False,False,False,1.8467551758082614,-0.5424736200009259,2,0
12,1,3,male,35.0,1,0,14.984752925991465,1,False,True,False,0.5765120839647608,-0.8089603277442621,2,0
13,1,3,male,14.0,0,0,9.530392647661618,1,False,True,False,-0.827440807020161,-1.0403542368789738,1,1
14,0,2,male,27.0,0,0,34.99848785955369,1,False,True,False,0.041672887399076354,0.04009549665040978,1,1
15,0,3,female,35.0,0,1,40.34784425213207,0,False,True,False,0.5765120839647608,0.2670347569613354,2,0
16,0,2,female,54.0,0,2,36.23731190445255,0,False,False,False,1.8467551758082614,0.09265094290835246,3,0
17,0,1,female,35.0,1,2,25.930328450508423,0,False,True,False,0.5765120839647608,-0.34460898696287584,4,0
18,0,2,female,54.0,0,0,21.580710343396998,0,False,True,False,1.8467551758082614,-0.5291356932470864,1,1
19,0,1,female,54.0,0,0,66.95638165684265,0,False,True,False,1.8467551758082614,1.395866218809414,1,1
20,0,2,male,2.0,0,0,29.21174164404781,1,True,False,False,-1.6296996018686876,-0.20539943944618747,1,1
21,1,3,male,26.0,0,0,26.820631745457483,1,False,False,False,-0.02518201217163421,-0.30683906542830885,1,1
22,0,3,male,27.0,0,0,8.029296618260434,1,False,True,False,0.041672887399076354,-1.104036219825669,1,1
23,0,1,male,2.0,0,0,19.77223644232393,1,False,True,False,-1.6296996018686876,-0.6058577695646297,1,1
24,0,1,female,14.0,0,0,21.600540946964156,0,False,True,False,-0.827440807020161,-0.5282944065249504,1,1
25,0,1,male,2.0,1,0,22.515965425939974,1,False,False,False,-1.6296996018686876,-0.48945875249795184,2,0
26,1,2,female,38.0,1,0,33.28733164595812,0,False,True,False,0.7770767826768925,-0.03249800748189759,2,0
27,0,2,male,38.0,0,0,30.131513130586065,1,False,True,False,0.7770767826768925,-0.16637936946175635,1,1
28,0,1,female,27.0,0,0,35.33754074824459,0,False,True,False,0.041672887399076354,0.054479360076026224,1,1
29,0,3,female,35.0,0,2,50.68019386360643,0,False,True,False,0.5765120839647608,0.70537081199686,3,0
30,0,2,male,26.0,0,0,57.54711204455494,1,False,True,False,-0.02518201217163421,0.9966905929638127,1,1
31,1,2,male,27.0,0,0,45.238542314941725,1,False,False,False,0.041672887399076354,0.4745160536492785,1,1
32,0,2,male,54.0,0,0,89.92207984261105,1,False,True,False,1.8467551758082614,2.3701551194392265,1,1
33,0,1,male,22.0,0,0,7.802025337481001,1,False,True,False,-0.29260161045447647,-1.1136778986679234,1,1
34,1,1,female,26.0,0,0,13.78639732137539,0,False,True,False,-0.02518201217163421,-0.8597989547757924,1,1
35,1,1,male,26.0,0,0,7.477748555942471,1,True,False,False,-0.02518201217163421,-1.1274349055931792,1,1
36,1,1,male,54.0,0,0,38.52898779223255,1,False,True,False,1.8467551758082614,0.18987221453024644,1,1
37,0,1,female,54.0,2,0,75.7424603019943,0,False,False,False,1.8467551758082614,1.7686038048731603,3,0
38,0,3,male,27.0,1,0,15.620880328333204,1,False,True,False,0.041672887399076354,-0.7819734770735476,2,0
39,1,3,male,27.0,0,0,85.78307498671157,1,False,True,False,0.041672887399076354,2.194563397466031,1,1
40,0,1,male,54.0,1,2,9.114797058161619,1,False,True,False,1.8467551758082614,-1.057985321583007,4,0
41,0,2,male,38.0,0,0,88.99186769000355,1,False,True,False,0.7770767826768925,2.330692118219517,1,1
42,0,1,male,14.0,1,0,20.248474379196153,1,False,True,False,-0.827440807020161,-0.5856540147212006,2,0
43,0,3,female,22.0,1,1,10.458213841758106,0,False,False,False,-0.29260161045447647,-1.000992668862832,3,0
44,1,3,male,27.0,0,0,27.208476466982347,1,False,True,False,0.041672887399076354,-0.29038527402632575,1,1
45,0,2,male,4.0,0,0,16.152756892345156,1,False,True,False,-1.4959898027272664,-0.7594093282011615,1,1
46,1,3,male,38.0,0,0,17.30884977774986,1,False,True,False,0.7770767826768925,-0.7103636402697188,1,1
47,0,1,male,35.0,0,0,18.264313614838358,1,True,False,False,0.5765120839647608,-0.6698293702510801,1,1
48,0,2,male,54.0,0,2,55.9904905989627,1,False,False,False,1.8467551758082614,0.9306530188106056,3,0
49,0,1,female,4.0,0,0,30.49121414414781,0,False,True,False,-1.4959898027272664,-0.15111953707069606,1,1
50,0,1,male,54.0,0,1,18.43882087260358,1,True,False,False,1.8467551758082614,-0.6624261342185976,2,0
51,1,2,female,26.0,1,0,35.52394282863537,0,False,True,False,-0.02518201217163421,0.062387217982631575,2,0
52,1,1,female,38.0,3,0,45.029351739443044,0,False,True,False,0.7770767826768925,0.46564142444462286,4,0
53,1,3,male,26.0,0,0,16.79935226624138,1,False,False,False,-0.02518201217163421,-0.7319783878966309,1,1
54,1,1,male,27.0,0,0,23.259990018773063,1,False,False,False,0.041672887399076354,-0.4578945084358182,1,1
55,0,2,male,26.0,0,0,11.149368785642016,1,False,True,False,-0.02518201217163421,-0.9716713486488963,1,1
56,1,2,male,27.0,0,1,13.24560703166416,1,False,True,False,0.041672887399076354,-0.8827412564890725,2,0
57,0,2,female,27.0,2,0,41.53801077878511,0,False,True,False,0.041672887399076354,0.3175259733589174,3,0
58,0,1,male,4.0,0,2,13.256196844509418,1,True,False,False,-1.4959898027272664,-0.882291997902139,3,0
59,0,2,male,54.0,0,0,29.593534991963,1,False,True,False,1.8467551758082614,-0.18920236944208116,1,1
60,0,2,male,35.0,0,1,44.287729983190566,1,False,True,False,0.5765120839647608,0.4341791174972061,2,0
61,0,1,male,26.0,0,0,10.640926505614113,1,False,True,False,-0.02518201217163421,-0.9932413294975115,1,1
62,0,3,male,38.0,0,0,32.382166177044404,1,False,True,False,0.7770767826768925,-0.07089843678574134,1,1
63,1,1,male,27.0,1,1,16.144128802774524,1,False,True,False,0.041672887399076354,-0.7597753633129315,3,0
64,0,2,female,54.0,0,0,89.92207984261105,0,True,False,False,1.8467551758082614,2.3701551194392265,1,1
65,0,2,female,22.0,0,0,27.073051139804214,0,False,True,False,-0.29260161045447647,-0.2961305116440342,1,1
66,0,1,male,27.0,0,0,56.445761523060774,1,False,True,False,0.041672887399076354,0.9499672762975869,1,1
67,0,3,male,4.0,2,0,31.220337499808334,1,False,True,False,-1.4959898027272664,-0.12018745798196959,3,0
68,1,2,male,35.0,1,1,8.581491478395984,1,False,False,False,0.5765120839647608,-1.0806100945294528,3,0
69,0,2,female,2.0,0,0,37.33417950723057,0,False,True,False,-1.6296996018686876,0.13918407776899006,1,1
70,1,2,male,4.0,0,0,89.92207984261105,1,False,True,False,-1.4959898027272664,2.3701551194392265,1,1
71,1,1,female,22.0,0,0,34.859852682614736,0,False,False,False,-0.29260161045447647,0.034214085467701834,1,1
72,0,2,male,27.0,0,0,58.55906644123188,1,False,False,False,0.041672887399076354,1.0396213991013266,1,1
73,0,3,male,22.0,2,0,71.928395904621,1,False,False,False,-0.29260161045447647,1.6067972454300465,3,0
74,1,2,male,26.0,0,0,15.016221975095007,1,True,False,False,-0.02518201217163421,-0.807625295601675,1,1
75,1,2,male,27.0,0,0,14.399422825404674,1,False,True,False,0.041672887399076354,-0.8337921711131538,1,1
76,1,3,female,35.0,0,0,35.57381194128591,0,False,False,False,0.5765120839647608,0.06450284810833741,1,1
77,1,2,female,14.0,0,0,23.131322970007318,0,False,True,False,-0.827440807020161,-0.4633530351688284,1,1
78,0,1,male,27.0,0,0,62.20144946506771,1,False,False,False,0.041672887399076354,1.194144606854915,1,1
79,0,1,male,14.0,1,0,76.33449061138568,1,False,False,False,-0.827440807020161,1.7937198956016316,2,0
80,0,1,female,27.0,0,0,20.331814352705443,0,False,False,False,0.041672887399076354,-0.5821184282777978,1,1
81,1,3,female,54.0,0,0,15.359828438253292,0,False,True,False,1.8467551758082614,-0.7930482528951206,1,1
82,1,2,female,2.0,0,0,52.74557887377346,0,False,True,False,-1.6296996018686876,0.7929919970640711,1,1
83,0,1,female,38.0,0,0,16.889483682024974,0,False,True,False,0.7770767826768925,-0.72815468363623,1,1
84,0,3,male,27.0,0,0,59.13286776557105,1,False,False,True,0.041672887399076354,1.0639641496220478,1,1
85,0,2,female,35.0,0,0,23.785799022662307,0,True,False,False,0.5765120839647608,-0.4355877676523846,1,1
86,0,3,male,22.0,1,0,40.28796509616111,1,False,True,False,-0.29260161045447647,0.26449446419210704,2,0
87,1,1,female,35.0,0,0,10.262360518733773,0,False,True,False,0.5765120839647608,-1.0093014830443368,1,1
88,1,1,female,27.0,0,0,36.583762071961225,0,False,True,False,0.041672887399076354,0.10734862595263352,1,1
89,1,1,female,14.0,0,0,25.28168413888355,0,False,False,False,-0.827440807020161,-0.37212685069864515,1,1
90,0,3,female,22.0,0,0,33.750803121998146,0,False,False,False,-0.29260161045447647,-0.012835852592823138,1,1
91,0,3,female,38.0,2,1,12.768197447694739,0,False,True,False,0.7770767826768925,-0.9029947168869777,4,0
92,1,1,male,38.0,1,0,47.30363914245598,1,False,True,False,0.7770767826768925,0.5621250129544997,2,0
93,1,3,male,27.0,0,0,66.83882789635632,1,False,False,False,0.041672887399076354,1.390879158405559,1,1
94,0,1,female,27.0,0,0,14.578709800656181,0,False,False,False,0.041672887399076354,-0.8261861619858859,1,1
95,1,1,female,54.0,0,0,10.26830633788403,0,False,True,False,1.8467551758082614,-1.009049239652632,1,1
96,0,2,male,27.0,0,0,7.96767379794722,1,False,True,False,0.041672887399076354,-1.1066504852127268,1,1
97,0,3,female,14.0,0,2,38.06428064148762,0,False,True,False,-0.827440807020161,0.17015763780143361,3,0
