Area_SqFt,Bedrooms,Age_Years,Price
1460,2,12,260363.61
1894,2,21,324157.2
1730,4,1,356707.62
1695,5,26,322618.21
2238,1,26,337200.45
2769,1,1,476407.34
1066,3,15,218286.64
1838,2,2,354788.12
930,5,22,212815.32
2082,4,16,363139.27
2735,2,25,420286.59
730,4,8,203901.67
2285,3,13,366193.86
1369,3,21,266900.48
2991,1,1,502115.14
2115,5,16,385181.56
3453,4,29,539714.86
3033,2,7,510227.07
1815,3,5,361317.07
1555,1,22,260812.95
2924,1,29,447990.3
1784,4,23,312933.1
1059,3,3,211165.85
621,5,12,156487.95
2900,3,26,457851.98
1347,4,16,266915.15
1074,4,19,214144.79
1682,3,5,337052.56
3158,4,22,526804.41
2647,3,25,427865.26
3347,2,29,548186.42
1575,3,14,294343.4
2406,3,28,378420.87
789,4,5,226249.51
3334,4,15,578106.17
1162,1,17,227541.32
2499,1,14,405186.02
1867,2,20,324694.64
3479,1,5,550057.26
2128,3,12,386960.1
1246,4,16,242534.14
2668,1,26,387874.13
3488,1,26,546689.01
2814,2,16,432948.03
1897,2,21,283859.4
3035,3,7,526687.15
1200,4,4,270570.21
2963,2,1,527007.86
2661,1,5,460279.45
841,4,23,192299.88
2641,4,26,444653.64
3424,1,10,551615.51
3212,2,22,506695.83
1963,1,5,340216.68
2739,4,4,497282.16
1990,5,2,378039.81
2078,5,20,376813.83
3156,3,10,532103.8
1375,1,26,218384.53
634,1,19,121280.85
2853,3,26,419166.03
2555,3,1,447730.59
2185,3,24,358120.57
1621,4,5,322317.73
3213,1,13,519840.84
1729,4,4,345885.22
2100,3,16,385743.5
1302,1,24,211986.88
3049,4,16,510654.64
3377,4,23,526563.15
2179,3,2,382321.15
761,1,17,148182.38
801,3,28,160056.7
2581,1,27,416270.56
1595,5,20,286831.6
2917,2,24,454992.03
1415,2,12,261885.01
1055,2,18,222960.98
1875,3,3,356972.92
1616,5,28,309668.94
2943,1,1,501999.59
3367,4,1,610348.68
937,1,29,157948.7
1478,4,19,276191.32
1676,1,11,274094.25
1391,5,5,294613.58
2864,4,12,517935.68
1363,3,3,291617.38
2835,1,1,476745.25
979,1,1,199715.37
1092,4,8,211836.9
1780,3,10,348665.08
2662,3,11,470590.95
664,5,12,173543.83
3168,3,29,500202.02
1967,3,13,316487.01
1752,3,12,311499.28
2627,2,14,456066.68
3295,5,2,604973.21
2095,1,29,321210.51
1762,4,19,316079.23
2122,1,18,354246.08
3240,5,3,575779.22
991,4,23,167679.6
2298,5,17,410607.01
1018,3,26,186746.79
2936,4,8,531240.17
978,3,29,147082.06
2396,1,26,365556.33
2878,1,10,470570.45
2688,4,26,424681.22
2782,4,2,510615.1
800,5,19,193210.52
2463,5,9,447089.62
1379,3,7,303676.39
1102,4,4,242509.6
3054,1,26,459399.75
2351,5,21,403514.93
1404,5,18,262367.51
2746,1,13,437514.62
3331,5,11,556138.67
2495,3,29,393377.01
3373,4,24,548812.11
2170,1,4,343257.96
1560,4,25,272470.76
3260,5,21,547632.01
2085,5,29,362468.83
3290,1,25,521569.53
1628,3,4,328970.31
1102,2,10,205994.54
3414,1,5,551053.82
997,2,9,210242.57
1470,2,24,234290.8
3442,3,3,571879.19
992,2,17,220412.13
806,2,3,180239.14
1638,3,16,284302.14
2481,2,4,401268.05
2084,2,18,359371.03
1463,2,17,240630.96
3390,1,7,554929.31
1163,1,24,200979.35
1620,1,23,242415.97
695,3,5,175442.24
2523,5,12,477306.81
2357,2,17,352698.79
3132,2,23,481642.41
2878,3,13,472131.87
3396,2,23,530596.42
2278,1,25,350983.14
1140,5,3,249081.06
1659,4,9,311034.4
3172,2,17,500201.63
1783,1,17,288188.16
2322,4,20,401573.34
2419,5,16,444508.46
3225,4,25,539579.96
3329,1,22,525154.51
3204,4,13,531490.39
2197,3,27,355500.56
3293,4,19,581564.94
1395,2,17,260467.99
1651,2,4,303042.43
2243,3,12,416180.57
1963,1,29,290628.96
2581,2,9,429123.97
1954,5,19,376035.98
2263,2,12,365805.26
2129,2,9,342643.34
2638,1,7,455819.27
2096,4,28,348815.36
2837,2,14,469460.48
2008,3,20,335778.66
2000,4,19,348422.6
1906,5,26,327028.35
3280,1,15,512610.11
3275,5,16,553521.35
1572,4,21,277598.23
2368,4,5,422771.24
1882,4,3,358122.46
1309,5,12,234808.61
2079,4,25,362119.63
2034,5,20,370953.8
1248,4,27,221926.37
917,3,21,179109.87
1857,4,4,364653.66
1283,5,21,239589.97
1263,2,23,205461.3
2598,4,16,455624.75
2231,2,25,357762.55
2095,3,7,410899.81
1736,1,13,318694.18
2453,3,21,419945.18
2120,4,10,376573.98
3089,2,26,472881.64
1163,2,7,215419.3
1891,5,14,359846.36
2236,2,26,312285.68
1298,5,5,277820.71
2760,1,3,463399.25
