Tenure_Months,Monthly_Charges,Contract_Type,Tech_Support,Churn
52,63.44,2,1,0
15,55.01,0,0,0
61,84.51,0,0,0
21,86.89,1,0,0
24,106.42,2,1,0
3,43.02,2,1,0
22,69.92,0,0,0
53,77.2,0,0,0
2,96.86,1,0,1
30,24.36,1,0,0
38,119.46,2,1,0
2,66.99,2,1,0
64,47.96,0,1,0
60,108.35,2,1,0
21,94.77,1,0,0
33,115.31,1,0,0
58,53.08,0,0,0
22,75.28,1,1,0
49,77.23,1,0,0
59,118.03,1,1,0
42,27.53,1,1,0
60,50.57,0,0,0
15,39.09,0,0,0
62,46.85,2,0,0
62,68.53,1,1,0
47,57.27,2,0,0
62,59.47,0,1,0
51,104.42,0,0,0
55,113.0,0,1,0
64,27.04,0,1,0
3,40.89,0,0,1
51,87.11,0,1,0
7,55.86,0,1,1
21,45.42,1,0,0
39,49.53,2,1,0
18,52.26,0,0,0
4,104.87,1,1,0
60,33.66,1,0,0
14,90.89,2,0,0
9,75.28,0,1,1
53,49.65,2,1,0
2,61.98,0,1,1
60,45.62,1,1,0
71,81.15,1,1,0
44,28.16,1,0,0
8,20.52,1,1,0
47,82.79,2,0,0
35,39.43,0,0,0
36,27.09,0,1,0
50,59.68,2,0,0
4,25.08,0,0,1
2,108.66,1,0,1
6,22.76,0,0,1
54,77.89,1,1,0
4,63.85,2,0,1
54,87.2,0,1,0
63,52.82,2,1,0
18,35.5,0,0,0
44,118.18,1,1,0
34,103.89,2,1,0
62,106.04,0,1,0
14,45.03,1,0,0
48,23.88,2,1,0
15,50.33,2,1,0
62,73.71,0,1,0
40,52.67,0,0,0
53,102.79,0,1,0
24,47.15,1,0,0
26,116.53,0,0,0
60,65.73,2,0,0
41,104.2,2,0,0
29,39.44,0,0,0
15,61.14,0,0,0
45,89.95,2,1,0
65,33.84,1,0,0
71,33.27,0,1,0
9,116.95,0,1,1
1,91.46,2,0,1
8,24.11,0,1,1
63,59.88,1,1,0
11,63.35,2,1,0
8,94.4,0,1,1
35,45.09,2,0,0
35,38.43,0,1,0
33,28.09,0,0,0
5,62.83,0,1,1
41,88.85,1,1,0
28,25.82,1,0,0
7,111.52,2,1,0
12,64.24,0,1,0
34,43.98,0,1,0
33,29.39,1,0,0
48,38.29,0,1,0
23,113.46,1,0,0
62,83.83,0,1,0
37,71.67,2,0,0
44,85.71,0,0,0
35,63.57,0,1,0
65,93.0,1,1,0
47,24.77,0,0,0
3,76.6,0,0,1
1,35.86,1,1,0
5,32.02,2,0,1
14,54.19,2,1,0
27,29.18,1,1,0
9,29.42,1,1,0
15,51.14,1,1,0
42,117.95,1,0,0
51,37.53,1,1,0
63,21.72,2,0,0
52,96.34,2,1,0
4,100.69,1,0,1
23,54.63,0,1,0
15,66.47,1,0,0
43,84.98,0,0,0
29,24.81,1,1,0
36,114.91,1,1,0
13,108.67,2,1,0
32,46.09,0,1,0
71,21.53,0,0,0
59,113.34,2,1,0
28,70.1,2,0,0
66,73.94,2,0,0
42,88.4,2,1,0
45,81.59,0,0,0
62,114.39,0,0,0
57,114.43,1,0,0
6,106.72,1,0,1
28,83.64,2,1,0
28,100.09,2,1,0
44,87.72,2,1,0
30,77.34,1,1,0
62,32.85,1,0,0
62,101.12,1,0,0
1,102.06,1,1,0
27,82.59,1,1,0
62,102.04,1,1,0
3,85.15,1,0,1
70,40.67,2,1,0
27,47.4,2,1,0
9,41.46,2,1,0
62,57.73,2,0,0
37,23.9,1,0,0
51,81.83,0,0,0
44,53.66,1,0,0
24,85.57,0,0,0
59,58.54,2,0,0
32,88.16,1,0,0
52,54.06,2,0,0
62,46.07,1,1,0
58,69.6,2,1,0
52,89.29,0,0,0
12,54.83,0,0,0
39,113.66,0,1,0
2,23.92,1,0,1
3,61.79,0,0,1
56,116.76,1,0,0
59,74.8,0,1,0
2,62.35,0,1,1
2,76.85,1,1,0
54,77.59,1,1,0
1,93.16,0,1,1
19,32.77,1,0,0
2,45.0,0,1,1
53,78.05,1,0,0
44,106.71,2,0,0
32,76.19,2,1,0
70,43.86,2,1,0
32,87.98,2,0,0
68,93.99,2,0,0
55,43.82,0,0,0
